Title,Price (INR),Description,Transaction,Furnishing,Bathroom,Price per Sqft,Total Area,Covered_parking,Open_parking,Possession_Status,BHK,Price_INR_Numeric
3 BHK Apartment for Sale in Peeramcheru Hyderabad,1.17 Cr,0,0,3,3.0,0.018664,0.112,1,0,0,3.0,11700000.0
3 BHK Apartment for Sale in Bachupally Hyderabad,1.43 Cr,"Multistorey Apartment for Sale in Bachupally, Hyderabad. Covered area is 1914.0  Sq-ft. This property belongs to ""Urbanrise On Cloud 33"" .",0,3,3.0,0.019997333333333336,0.12760000000000002,0,0,0,3.0,14300000.0
"Plot/Land for Sale in Kothur, NH 7 Hyderabad",1.14 Cr,"Residential Plot for Sale in Kothur, Hyderabad. Covered area is 600.0  Sq-ft. This property belongs to ""Pavani Royale"" .",0,1,0.0,0.005629333333333333,0.0,0,0,1,0.0,11399999.999999998
3 BHK Apartment for Sale in Nizampet Hyderabad,1.50 Cr,"3 BHK, Multistorey Apartment is available for Sale in Nizampet, Hyderabad for 1.5 Crore(s)",2,2,3.0,0.023810666666666667,0.112,0,0,2,3.0,15000000.0
3 BHK  House for Sale in Shapur Nagar Hyderabad,1.08 Cr,0,2,3,3.0,0.024040000000000002,0.069,0,0,2,3.0,10800000.0
3 BHK  House for Sale in Medchal Hyderabad,1.10 Cr,0,2,2,3.0,0.02666666666666667,0.07333333333333333,0,0,2,3.0,11000000.0
"3 BHK Apartment for Sale in Miyapur, NH 9 Hyderabad",1.45 Cr,"Multistorey apartment is available for sale. Super fantastic premium built house, in good location.",2,0,3.0,0.02494666666666667,0.10333333333333333,0,0,2,3.0,14500000.0
"2 BHK  House for Sale in Injapur, Neeladri Nagar, Ibrahimpatnam Road Hyderabad",1.03 Cr,0,2,2,3.0,0.018496000000000002,0.08700000000000001,0,0,2,2.0,10300000.0
3 BHK Apartment for Sale in Nacharam Hyderabad,1.30 Cr,"Step into luxury living with this exquisite 3 BHK flat for sale in Raheja Vistas, nestled in the esteemed locale of Nacharam, Hyderabad. Boasting the allure of a fully gated community and an advantageous east-facing orientation, this residence promises a harmonious blend of comfort, convenience, and sophistication.Property Specifications Designed to harmonize with Vastu principles, this residence exudes a sense of tranquility and positive energy, ensuring a fulfilling lifestyle experience. Spanning across a generous super built-up area of 1450 square feet, this residence resides majestically on the 5th floor of a soaring 14-storeyed tower, offering breathtaking views of the surrounding landscape.Step inside to discover a blank canvas awaiting your personal touch. Unfurnished, this space allows you the freedom to infuse your unique style and preferences into every corner. Boasting three spacious bedrooms, including two attached bathrooms and an additional common bathroom, convenience is paramount. All bathrooms feature modern Western amenities, ensuring optimal comfort and functionality for you and your loved ones.Enjoy the luxury of a private balcony attached to the living room, offering a serene retreat to unwind and soak in the scenic vistas of the surrounding skyline. The heart of the home, the living-cum-dining area, serves as the perfect backdrop for hosting memorable gatherings and cozy family dinners. The adjacent kitchen, equipped with a platform and sink, provides ample space for culinary adventures, while the utility area attached to the kitchen adds practicality to your daily routines.Facilities parking covered, water supply borewell, power backup 100, security guard and CCTV, lifts 2. amenities include rainwater harvesting, clubhouse, swimming pool, gymnasium, park, reserved parking, water storage, servicegoods lift, visitor parking, intercom facility, maintenance staff, waste disposal, laundry service, DTH television facility, banquet hall, jogging and strolling track, outdoor tennis courts, bank  atm, flower gardens, indoor games room, indoor squash  badminton courts, kids play area, meditation area, rentable community space, cycling  jogging track, fire fighting equipment.Locality Conveniently located near Suprabhat School, this residence offers easy access to essential amenities such as schools, hospitals, malls, and supermarkets within a short radius. With banks and ATMs nearby and excellent public transportation connectivity, commuting is effortless. Plus, the railway station is 7 km away, and the metro station is a mere 3.5 km away, ensuring seamless travel within and beyond the city.",2,3,3.0,0.023909333333333335,0.09000000000000001,0,0,2,3.0,13000000.0
2 BHK Apartment for Sale in Kapra Hyderabad,1 Cr,0,2,0,2.0,0.012896000000000001,0.13786666666666667,0,0,2,2.0,10000000.0
